-0.89,0.06,0.23,0.92,0
-0.89,0.06,0.24,0.92,0
-0.89,0.06,0.24,0.92,0
-0.89,0.06,0.23,0.92,0
-0.89,0.06,0.24,0.92,0
-0.88,0.07,0.24,0.92,0
-0.89,0.07,0.24,0.93,0
-0.88,0.06,0.23,0.92,0
-0.89,0.07,0.24,0.92,0
-0.89,0.07,0.24,0.92,0
-0.88,0.07,0.23,0.92,0
-0.89,0.07,0.24,0.92,0
-0.89,0.06,0.23,0.92,0
-0.88,0.07,0.23,0.92,0
-0.89,0.07,0.23,0.92,0
-0.89,0.06,0.24,0.92,0
-0.88,0.06,0.23,0.91,0
-0.89,0.06,0.24,0.92,0
-0.89,0.06,0.24,0.92,0
-0.89,0.07,0.24,0.92,0
-0.88,0.07,0.23,0.92,0
-0.89,0.06,0.23,0.92,0
-0.89,0.07,0.23,0.92,0
-0.88,0.07,0.24,0.91,0
-0.89,0.07,0.24,0.92,0
-0.88,0.07,0.24,0.92,0
-0.88,0.07,0.24,0.91,0
-0.88,0.06,0.24,0.92,0
-0.89,0.07,0.24,0.93,0
-0.88,0.07,0.24,0.92,0
-0.89,0.06,0.24,0.92,0
-0.89,0.06,0.23,0.92,0
-0.89,0.07,0.23,0.92,0
-0.89,0.07,0.23,0.92,0
-0.88,0.05,0.24,0.92,0
-0.89,0.06,0.24,0.93,0
-0.94,-0.13,0.13,0.95,0
-0.92,0.18,0.38,1.01,0
-0.89,0.12,0.44,1.00,0
-0.89,0.00,0.38,0.97,0
-0.88,-0.06,0.31,0.93,0
-0.87,-0.13,0.03,0.88,0
-0.88,-0.08,-0.10,0.89,0
-0.96,-0.03,-0.15,0.97,0
-0.91,0.02,-0.13,0.92,0
-0.91,0.05,-0.03,0.92,0
-0.91,-0.04,0.00,0.91,0
-0.94,-0.01,-0.07,0.94,0
-0.96,0.07,-0.07,0.97,0
-0.89,0.03,-0.03,0.89,0
-0.98,-0.05,-0.04,0.98,0
-0.94,-0.07,0.05,0.94,0
-0.94,0.02,0.00,0.94,0
-0.91,0.02,-0.05,0.92,0
-0.97,0.01,-0.04,0.97,0
-0.90,-0.03,-0.00,0.90,0
-0.88,0.03,-0.11,0.88,0
-0.92,0.06,-0.14,0.93,0
-0.94,-0.04,-0.12,0.95,0
-0.94,0.14,-0.24,0.98,0
-0.94,-0.08,0.01,0.95,0
-0.94,0.02,-0.04,0.94,0
-0.93,-0.08,-0.04,0.94,0
-0.94,-0.11,0.00,0.94,0
-0.94,-0.08,0.04,0.94,0
-0.94,0.01,0.12,0.94,0
-0.94,-0.02,0.06,0.94,0
-0.93,-0.04,0.03,0.93,0
-0.94,-0.05,0.10,0.94,0
-0.93,-0.11,0.06,0.94,0
-0.93,-0.05,0.05,0.93,0
-0.93,-0.06,0.08,0.94,0
