547,767,25014,25031.74
509,621,24969,24981.91
574,614,24842,24856.22
544,668,24820,24834.95
559,636,24860,24874.42
502,564,24803,24814.49
492,661,24821,24834.67
524,704,24963,24978.42
423,666,24838,24850.53
700,618,24883,24900.52
580,727,24847,24864.4
507,781,24771,24788.5
714,741,25031,25052.14
586,571,24825,24838.48
430,774,24921,24936.73
399,762,24996,25010.8
736,790,24836,24859.46
579,786,24941,24960.1
593,634,24803,24818.19
568,640,24850,24864.73
549,791,24775,24793.7
605,752,24932,24950.67
709,727,24855,24875.74
646,671,24846,24863.45
612,781,24941,24960.73
470,666,24756,24769.42
427,682,24876,24889.01
700,678,24919,24938.05
479,745,24797,24812.81
688,697,24933,24952.23
580,802,24979,24998.6
526,705,24882,24897.54
635,670,24814,24831.16
581,723,24909,24926.26
464,680,25044,25057.53
452,650,24968,24980.55
588,768,24879,24897.8
513,670,25065,25079.2
693,710,24858,24877.79
549,690,24864,24879.63
550,638,24888,24902.25
523,851,24835,24855.08
540,722,24881,24897.33
680,706,24861,24880.32
579,670,24888,24903.75
622,736,25027,25045.55
597,717,24788,24805.55
619,763,24867,24886.4
546,678,24891,24906.22
674,825,24875,24897.8
538,674,24881,24895.94
523,859,24802,24822.38
615,690,24901,24918.15
554,825,24892,24911.83
668,722,24802,24821.5
668,728,25008,25027.51
620,773,24892,24911.72
499,809,24849,24867.17
565,669,24883,24898.41
633,682,24936,24953.35
502,695,25055,25069.66
688,693,24937,24956.11
663,724,24803,24822.42
763,682,24761,24782.14
501,731,24860,24875.79
558,870,24964,24985.39
692,799,24892,24914.43
610,814,24867,24887.8
589,857,24860,24881.74
586,739,24885,24902.87
702,641,24870,24888.16
758,696,24915,24936.25
635,727,24910,24928.7
571,727,24875,24892.17
574,619,24829,24843.35
611,783,24788,24807.89
576,818,24857,24877.13
511,867,24902,24922.33
597,891,24904,24927.08
476,580,24806,24817.35
677,726,24904,24923.78
601,696,24884,24900.99
533,827,24834,24853.48
531,701,24895,24910.53
582,849,24810,24831.34
613,695,24858,24875.27
503,824,24872,24890.73
621,816,24928,24949.08
511,996,24924,24949.13
653,867,24794,24817.75
520,758,24957,24973.92
617,751,24946,24964.93
631,837,24866,24888.08
519,786,24885,24902.82
